126	307	54	46.87
279	2192	5	21.9
151	269	32	39.41
154	1881	4	6.86
184	2320	3	6.64
106	12451	4	10.15
813	699	4	15.6
581	7579	7	78.97
3010	412	3	14.14
7649	482	7	75.7
14540	14461	3	61.26
126	5010	5	9.87
549	664	3	7.03
101	2399	24	10.46
252	103	150	23.57
1303	531	4	16.35
757	682	4	14.38
286	893	4	8.78
7473	304	3	19.34
12	671	76	12.23
101	312	182	32.04
1566	304	3	7.86
6811	8590	3	43.95
10517	130	3	9.95
390	2149	3	12.39
1404	1349	20	205.47
4570	101	13	12.8
389	175	12	14.16
161	7606	3	13.57
416	481	5	10.82
417	876	4	11.92
1156	8480	3	28.32
314	4358	4	22.3
354	554	4	6.84
963	258	7	20.66
249	572	7	13.46
130	3202	8	19.38
313	2992	4	18.81
131	297	29	11.44
101	1017	53	12.69
12	393	125	16.92
107	8571	6	11.11
4035	381	3	16.92
1449	105	23	8.12
934	1209	4	20.77
6915	45	3	8.91
154	1220	17	64.27
109	12798	3	9.55
5226	147	4	12.63
112	9137	4	7.51
932	481	4	13.32
8	5664	3	6.66
4544	133	4	7.76
555	827	4	13.26
2085	401	10	65.06
1641	391	5	22.88
124	210	79	47.88
104	17544	3	6.83
197	14550	3	25.13
179	130	109	116.72
7907	357	4	30.97
1170	493	5	21.19
248	2385	3	8.91
8861	4910	6	97.57
243	1985	4	12.23
210	3319	3	9.6
275	651	6	12.06
7608	9	3	9.07
577	736	3	7.93
579	488	4	9.75
104	7149	7	10.69
1238	690	5	25.61
12	2062	26	8.22
105	213	229	100.3
1848	178	9	34.09
1238	382	3	8.42
12	1291	45	22.41
103	126	897	10.44
13258	116	3	7.91
6284	6610	9	164.01
1534	128	11	16.19
514	130	23	18.4
542	121	23	7.13
8918	209	3	17.25
2011	349	4	18.13
104	6438	8	12.72
103	6810	7	10.17
386	370	5	7.57
5	408	4	7.59
8	1410	10	12.22
245	2364	3	8.64
108	15559	3	9.29
311	464	6	10.39
818	141	9	7.35
275	421	7	10.65
782	103	51	28.53
1359	6125	3	26.62
3425	339	16	148.95
126	5631	4	6.76
517	774	4	12.64
4884	2366	11	153.73
395	10657	5	51.88
9050	127	6	32.75
11603	713	4	46.93
135	835	15	20.07
136	212	51	31.34
1215	1242	3	15.43
2136	115	11	9.15
507	137	21	22.98
2855	8702	5	68.54
475	1734	3	11.63
112	4317	10	20.76
569	202	7	9.86
106	7362	6	7.55
439	416	12	43.09
856	146	9	9.51
11776	154	3	18.28
775	111	25	9.93
2965	14698	3	45.42
371	1945	5	22.82
13	11634	3	19.01
104	10400	5	11.39
103	11020	5	10.99
557	4049	4	27.41
1997	190	4	9.65
940	106	37	23.57
15977	134	3	17.45
11681	4891	4	64.96
202	6088	3	13.42
7454	121	6	18.67
102	12976	4	7.18
2819	194	3	7.91
300	1166	3	7.11
885	521	5	19.52
859	559	3	8.62
2892	173	3	6.77
2843	179	3	7.37
5813	109	6	9.01
1721	222	4	10.5
113	588	32	11.07
109	2070	14	9.64
9840	109	4	8.19
446	192	16	34.42
954	250	4	7.41
2479	188	4	10.9
293	178	13	11.19
9176	147	6	41.08
765	260	6	13.86
231	12	253	14.31
1182	327	3	7.28
108	271	98	38.67
2741	157	4	8.8
15144	104	3	6.83
6536	268	3	16.97
5705	2530	10	146.47
1005	9	14	19.47
1041	934	4	19.4
177	721	7	9.54
6460	641	4	33.38
107	18486	3	8.13
235	105	139	9.59
1252	103	29	11.84
358	11653	4	41.29
121	666	27	22.31
3741	817	3	19.9
8470	11946	4	69.82
205	3940	3	10.42
463	12	107	21.17
973	416	3	7.68
481	12363	3	28.04
2633	3620	17	259.19
105	12150	3	6.93
259	111	67	7.17
4885	4058	4	46.71
106	2407	15	8.9
4311	3819	12	182.29
110	5574	6	8.06
195	7512	3	14.74
1046	3764	17	214.69
2113	105	18	10.28
278	1322	4	11.18
3177	249	3	10.78
4905	101	12	11.81
189	6300	5	28.94
101	7576	7	6.89
101	5326	11	10.83
121	12197	3	9.33
102	252	181	30.3
283	2513	3	10.11
103	390	81	13.08
317	130	42	38.04
2260	117	12	14.57
114	12790	3	7.1
1238	119	29	59.97
103	2351	16	12.58
238	13367	3	22.27
1622	480	3	11.36
102	1069	56	75.47
103	682	47	9.47
2981	9939	3	37.31
127	261	40	18.15
319	13	22	39.82
219	207	17	14.21
101	3572	16	6.97
104	2394	15	7.24
282	500	5	7.33
115	8464	4	7.15
7639	123	7	34.15
541	289	5	8.2
127	4988	6	16.92
16514	104	3	6.83
309	135	22	7.66
1839	325	3	9.47
279	1415	3	7.52
247	204	25	44.48
1707	2531	3	22.51
655	1432	3	12.35
4841	150	3	7.47
8778	3627	5	70.99
123	288	42	18
2111	192	5	15.23
3488	216	3	9.94
424	210	7	6.8
3490	955	3	20.89
8863	1462	4	45.53
2666	3972	4	39.78
813	45	10	9.44
243	266	12	13.94
6469	113	5	7.4
184	923	5	6.85
2216	181	6	19.45
16	103	822	22.43
123	1670	11	12.38
209	893	5	8.44
194	11919	3	20.64
2560	155	16	90.76
107	10775	5	13.55
456	432	8	23.6
1108	12	46	16.15
102	1402	36	26.97
130	1308	11	12.73
316	355	9	18.46
12	2587	22	9.52
102	3378	14	8.47
3925	1375	5	45.3
117	9594	4	9.32
