8011	2	4	11.49
182	1936	5	12.31
185	1005	9	22.01
152	400	14	8.92
106	12453	4	7.01
10279	101	6	7.4
7433	2334	3	30.52
253	103	121	12.89
159	223	22	8.29
665	7	9	9
128	1518	9	9
103	1860	21	10.93
599	119	39	47.63
19348	111	3	10.05
1058	863	5	25.66
15162	102	4	7.13
454	876	6	23.31
3515	107	11	9.32
158	5064	3	7.37
1817	6307	8	100.04
388	146	14	6.69
2	8578	4	14.68
356	557	5	11.43
4216	10	3	9.69
8	14284	3	8.43
316	522	6	12.46
127	1984	6	8.28
132	667	15	11.78
191	629	6	6.64
484	4283	3	17.12
180	7519	3	13.42
3491	101	17	8.71
428	103	69	16.46
2120	121	10	9.69
10633	129	4	14.62
247	1404	7	24.62
5322	101	12	9.3
4298	12	15	10.12
362	247	7	7.72
6180	150	6	25.03
1747	6302	3	28.83
9637	439	6	63.82
6413	135	4	10.53
852	3742	3	20.69
249	295	14	25.56
8549	2333	5	64.06
184	3747	5	21.29
2050	225	10	49.39
5497	212	3	12.35
193	5304	3	10.98
149	10403	3	11.93
1602	121	12	10.21
14071	1080	3	37.34
516	2527	3	14.41
359	364	5	7.4
255	256	9	7.94
4688	9965	6	95.08
6871	354	9	91.84
159	1379	8	15.52
634	664	3	8.22
2232	536	3	13.96
5360	1647	4	38.33
10771	103	5	7.2
1340	363	3	8.89
127	828	13	8.61
101	1418	35	8.39
103	124	827	7.36
188	135	48	11.79
218	7111	4	22.71
516	912	4	13.45
391	3895	3	14.74
420	1040	3	8.15
1889	889	3	15.82
311	2674	3	12.31
119	492	28	12.86
279	3190	4	17.68
249	2764	3	9.97
154	823	8	7.89
10185	122	4	11.59
4749	17	3	6.98
104	20180	3	7.15
122	2848	8	10.93
13703	106	3	8.6
107	9480	5	7.26
2921	17	4	7.73
392	1551	4	15.63
5095	12	12	7.39
119	7190	5	10.9
8994	133	3	8.14
583	214	7	10.82
4513	134	5	10.98
769	2056	3	15.69
262	1068	4	9.13
115	19943	3	11.44
227	389	10	16.06
195	128	49	8.37
107	2045	16	9.95
137	4796	5	12.05
4054	222	4	16.77
409	1496	3	9.72
135	6413	4	10.53
1884	146	6	9.14
11165	1448	5	65.37
20669	103	3	7.13
9156	115	5	11.34
2823	107	12	8.98
116	2840	16	38.4
8	6438	5	9.79
1642	6205	4	39.93
566	121	25	9.76
108	21434	3	9.46
148	6565	4	14.51
219	10584	3	17.69
2640	115	12	14.39
6573	161	3	9.4
1126	205	7	17.36
116	203	83	11.8
104	14587	4	9.53
481	8695	5	46.02
305	610	9	29.09
118	3669	7	8.47
302	249	16	34.04
1593	116	12	6.77
1435	290	3	7.27
138	7368	3	6.68
135	7188	5	17.24
346	1161	3	7.33
2875	149	17	87.76
738	105	34	7.39
4313	170	3	8.24
168	140	53	11.93
644	1858	3	13.77
113	591	34	15.52
348	2148	6	30.12
17325	112	3	10.77
1592	667	6	36.23
409	106	106	123.19
106	6732	8	14.02
134	7434	4	11.35
109	2376	15	15.49
610	203	7	11.36
199	621	31	133.21
112	1755	15	11.88
21146	108	3	9.46
3498	109	10	8.97
272	4414	3	13.41
1584	399	4	15.44
1554	626	3	12.84
9	1024	16	8.14
4900	9	6	8.36
1707	138	7	7.63
102	15781	4	7.13
336	145	16	7.07
129	13761	3	12.12
9	300	45	9.9
114	1847	14	12.51
143	639	18	23.27
5287	102	10	9.13
10754	1827	3	32.3
1802	409	3	10.7
2	2276	8	12.72
272	106	142	100.6
375	899	4	10.6
8392	699	5	47.47
2448	551	3	14.6
146	5720	3	6.82
1581	308	3	8.31
610	2840	8	62.29
2304	107	21	29.37
124	12448	3	8.5
673	541	5	16.66
233	2955	3	9.32
5852	134	4	9.53
15928	139	3	13.64
608	114	27	7.67
1631	116	12	7.17
